m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
146246,38218944,3537820,20198,51592,3355992,36410,52738,725150
95588,39822,3541588,20150,46386,3358816,20724,49122,723347
95450,39882,3691740,20458,48954,3340712,20012,46404,723948
304034,94552,3548956,21200,47238,3337376,20396,49832,721908
94934,39246,3331376,306170,125366,3341460,305560,121284,724579
95342,39536,3511052,19762,45318,3354896,20240,49616,723900
94934,39774,3665004,20390,49730,3351628,19768,45468,724651
101340,56632,3364544,19802,45318,3343312,36682,55670,724601
262898,157045612,3689448,20486,49794,3353628,92941730,149830,726492
104336,58862,3741840,21522,48322,3347148,38320,51864,727111
279768,176638682,3481924,20542,49730,3344984,127524068,182026,726838
108200,43244,3542348,124024,74506,3345024,19910,48812,723361
96254,40004,3593456,33412,53336,3346032,32752,49878,724157
95870,39440,3534640,19918,46878,3349624,20182,49796,723746
95066,39566,3326700,20406,50078,3318884,19544,45204,722478
176878,80429968,3759540,19762,45316,3351356,44631206,99282,725882
96122,39916,3519368,20378,50090,3344572,19826,46332,723838
94800,39554,3531120,19910,45316,3335984,19992,49616,722933
94802,41106,3694584,20282,49730,3378716,19540,45204,724454
109136,43110,3657916,20858,46170,3346132,20148,49616,723810
95870,40336,3650800,33452,53204,3347052,32924,49926,723553
101192,56464,3573292,19994,46566,3345308,36314,48812,723571
95090,39792,3576516,20072,48794,3328948,20116,46560,722814
95066,40006,3726888,19888,46254,3352380,20058,48836,723699
95450,56220,3614996,20306,49166,3382452,19872,46356,724186
95066,39814,3474852,19858,46518,3342416,23990,52806,723290
91588,39154,3580976,19644,45628,3353328,19594,46614,724270
104724,42376,3533784,19876,46470,3344800,19806,48680,722847
95786,44088,3315632,19928,46254,3352344,19664,46272,724505
100536,50498,3668368,19558,45294,3346132,19784,46452,724516
91722,39354,3562828,20048,46386,3345284,19438,45564,722568
278248,181683108,3718844,19408,45186,3347404,127177956,179830,726442
91590,39110,3559340,20124,46518,3348176,19646,45648,723743
95066,39690,3578864,33284,53564,3338792,33020,50190,723367
95844,56184,3483524,19890,46564,3339416,20072,48812,724060
94934,39646,3478608,20550,48986,3345152,20356,46752,724321
95054,39094,3653476,19972,46878,3355008,19890,48680,723683
95198,39634,3577440,20160,48810,3351624,19726,46404,723070
95066,39562,3661420,19864,46386,3351220,19890,48896,724049
97732,39586,3434728,19830,51508,3346548,19888,46272,723478
211638,100043578,3714464,21160,47238,3353036,81376876,134970,730492
293656,189408632,3646396,36084,56462,3346360,164643626,226040,726042
233678,69935560,3562660,20446,46566,3352644,25484092,84666,727143
216420,110065342,3708360,20308,49862,3354768,37030482,93754,727878
94802,39290,3646696,19670,45498,3345604,20148,49616,723872
139444,32462040,3681840,20552,50150,3350936,36756,51982,726376
115860,12649496,3694764,19514,45186,3347564,36806,55770,729013
93832,39988,3501064,19856,46564,3360780,19976,46380,722982
98800,56202,3528540,20048,46698,3347120,36054,46404,724209
364632,111484,3524868,19704,45450,3342828,19786,46272,722958
99208,55994,3713804,215148,98724,3357464,231022,98250,723952
91458,39030,3572404,20006,46470,3345788,19754,46272,724128
91866,39660,3632936,19902,45606,3347920,20022,46536,724101
94802,39110,3474176,19992,49598,3344464,19634,45288,723798
238034,140500988,3722260,19676,45610,3351148,114435160,168018,727145
157612,58130444,3783740,20110,46626,3344484,15328290,70222,729618
94116,39408,3699372,21066,46650,3353716,20802,46452,727050
92658,39504,3630472,110994,70392,3362360,19716,46380,723120
92658,39696,3562980,19758,46254,3343860,21210,46992,722867
131992,31003034,3691476,20018,46386,3347848,36090,51718,725480
111646,6523456,3676964,19708,45316,3339996,36604,52678,726542
97994,56004,3523440,19858,46384,3351956,36046,51438,724182
92658,39644,3333384,20020,46254,3346180,19756,46452,727518
211806,116975668,3720696,19942,45478,3356056,42371938,98144,727070
91710,39174,3648260,19988,46586,3348336,19798,45564,723661
91588,39110,3578380,19646,45316,3346136,19860,46584,723459
91722,39118,3624204,19864,46566,3360284,19518,45204,723512
91842,39278,3664696,20868,46066,3356848,19630,46140,724318
97862,55660,3680568,19980,46564,3355176,36036,45600,723618
91590,39170,3626428,19664,45474,3354132,19626,46272,724012
91458,39086,3734276,19890,46386,3349636,19544,45384,723966
92718,43214,3679616,19524,45450,3349940,19606,46272,724180
95052,39570,3618896,19702,45318,3354100,20180,49746,722909
122536,9314546,3515224,33124,50124,3342932,36408,52738,724998
289964,90816,3496956,19510,45186,3349840,21176,50204,724402
94800,39914,3736040,20412,49730,3348656,32784,48788,724194
101996,57122,3406080,20450,46698,3340168,36852,49748,722831
287820,178929920,3661696,20022,49598,3351680,149739130,206890,727563
302476,189474810,3667096,19780,45450,3351420,189454802,257022,727430
298490,189422798,3723528,19674,45316,3351208,180417862,242554,726101
184972,89469712,3743480,19862,46518,3346884,26662894,78538,726659
291556,189465254,3671748,19856,46782,3345508,172049572,230122,726414
283140,189375102,3660548,135844,79052,3354052,155766192,208294,726524
283028,189286028,3573348,20596,45774,3329400,189263278,224838,725087
257820,164133376,3757228,32994,53072,3336440,123129242,171760,725926
145644,43322762,3727500,19872,46362,3335632,3982864,63198,726320
137076,31607484,3721352,19684,48530,3342856,36556,53274,727016
180364,88583012,3563896,20034,46362,3347544,45587770,102790,726573
103648,56990,3774868,19996,49778,3338748,36330,52342,724169
267490,161851594,3703016,19982,46384,3342692,154429464,212734,726795
298464,189390574,3691268,19890,49598,3340240,176704070,235738,726929
139708,41927626,3699548,20018,46434,3340904,5991692,60778,727537
537802,161047226,3543536,19644,45318,3352456,93760012,150370,726716
276160,189309140,3728288,215074,98496,3347920,137100748,234772,727655
108198,43300,3301440,21208,47152,3338972,20070,48860,723287
93040,39580,3516544,19988,46648,3349868,19592,46404,724088
92922,40024,3528812,20186,46678,3348460,19922,46404,724015
92658,39320,3725896,19858,46746,3345424,20846,46792,724370
92790,39588,3545636,19728,46566,3345672,19992,46272,723807
95318,39694,3531004,19542,45318,3335920,20020,49748,723232
95198,39758,3527652,228336,105314,3356788,227606,100392,723400
96002,39788,3494632,19894,46254,3345444,21214,50204,723768
97542,40154,3532896,20284,49862,3350920,20400,47288,723900
95066,39898,3534628,19858,46386,3341696,19908,48728,721950
94934,39770,3619016,19910,48842,3345196,19860,46272,722996
100996,44562,3330212,20140,46650,3335392,24618,54186,722792
293460,189366010,3681664,20146,49994,3357328,119380830,175210,726694
147330,32144494,3722244,135894,77220,3340896,801542,57594,725991
260844,156598894,3689464,33298,53312,3345776,105840844,163636,725784
127812,9305568,3690584,19674,45186,3338712,37218,56706,725995
271144,173710600,3636640,19718,46434,3349136,134626410,183166,726038
140632,42192692,3519028,20024,46518,3358624,7423628,62162,726778
180088,80346982,3714556,20046,46386,3349784,23027508,78754,726717
297540,189353094,3555292,20190,48926,3345148,189333288,249074,726142
216492,117058936,3580828,20020,46518,3350716,97573260,150878,727123
175512,75650500,3725916,20152,49730,3355036,18876160,71894,729888
290200,189440534,3348744,20230,45498,3333412,124302466,178042,726398
170820,73019598,3673492,20542,49862,3340964,36862,53212,726089
108872,43394,3301440,293200,118680,3355988,137060,80766,723667
